epoch,loss,lr,val_loss
0,-14.187896703581016,0.001,-15.534111012776693
1,-15.766057945251465,0.001,-16.250822715759277
2,-16.209878619829812,0.001,-16.577189628601076
3,-16.4775006608963,0.001,-16.755424372355144
4,-16.681919039726257,0.001,-17.02254941177368
5,-16.750187351226806,0.001,-16.615059244791667
6,-16.85731468772888,0.001,-17.046310230255127
7,-17.033156167666117,0.001,-17.169263844807944
8,-17.12279278786977,0.001,-17.27933376566569
9,-17.16594227917989,0.001,-17.328832532246906
10,-17.27679329299927,0.001,-17.429370984395344
11,-17.328669262250266,0.001,-17.458733123779297
12,-17.391399943033854,0.001,-17.537124459584554
13,-17.448521422386168,0.001,-17.586756280263266
14,-17.48918356100718,0.001,-17.54097878519694
15,-17.534064054171246,0.001,-17.66792086156209
16,-17.565845189412435,0.001,-17.540009194691976
17,-17.591866689046224,0.001,-17.6442287012736
18,-17.620982808113098,0.001,-17.755972784678143
19,-17.675285299619038,0.001,-17.71554774602254
20,-17.692046166737875,0.001,-17.785832359313964
21,-17.725600322405498,0.001,-17.796109490712485
22,-17.744221135457355,0.001,-17.78844113922119
23,-17.69521314525604,0.001,-17.7501894493103
24,-17.729464530944824,0.001,-16.84655543899536
25,-17.246906348546347,0.0005,-17.532541694641115
26,-17.466966862042746,0.0005,-17.513569931030272
27,-17.612435030619302,0.0005,-17.767322622934977
28,-17.775033356030782,0.00025,-17.876596543629965
29,-17.86608233801524,0.00025,-17.93879020182292
30,-17.93814847787221,0.00025,-17.983121810913087
31,-17.979336802800496,0.00025,-17.973303496042888
32,-17.908291255315145,0.00025,-17.972503950754803
33,-17.96081102148692,0.00025,-17.992641971588135
34,-17.99454844792684,0.00025,-18.018387079874675
35,-18.02587360127767,0.00025,-18.032185709635417
36,-18.047565944671632,0.00025,-18.039606549580892
37,-18.06749013264974,0.00025,-18.060491877237954
38,-18.087630710919697,0.00025,-18.076474683125813
39,-18.10078268845876,0.00025,-18.074926606496174
40,-18.11801434803009,0.00025,-18.08922417577108
41,-18.12700245698293,0.00025,-18.093912125905355
42,-18.093211128552756,0.00025,-18.024298866271973
43,-18.023046690940856,0.00025,-17.98996268717448
44,-18.0234491370519,0.00025,-18.031660514831543
45,-18.0657640358607,0.000125,-18.060888912200927
46,-18.081137000401814,0.000125,-18.056796896616618
47,-18.093662896474203,0.000125,-18.076557685852052
48,-18.11623351319631,6.25e-05,-18.097075157165527
49,-18.128431206703187,6.25e-05,-18.096165270487468
50,-18.14119346491496,6.25e-05,-18.109702231089273
51,-18.158783857663472,6.25e-05,-18.117812719980876
52,-18.177625098228454,6.25e-05,-18.133671190897623
53,-18.192737190564472,6.25e-05,-18.143135983784994
54,-18.203803245862325,6.25e-05,-18.15139793395996
55,-18.215570642153423,6.25e-05,-18.162033240000408
56,-18.220668695449827,6.25e-05,-18.16497029240926
57,-18.227157729466757,6.25e-05,-18.162270566304525
58,-18.23217292690277,6.25e-05,-18.165218187967938
59,-18.23581097062429,6.25e-05,-18.174619051615398
60,-18.23946685473124,6.25e-05,-18.175346298217775
61,-18.24296707280477,6.25e-05,-18.179371655782063
62,-18.248581962585448,6.25e-05,-18.183831071217856
63,-18.2512709013621,6.25e-05,-18.1796295560201
64,-18.25530392328898,6.25e-05,-18.180506099700928
65,-18.257955467859905,6.25e-05,-18.178843293507892
66,-18.26767229874929,3.125e-05,-18.186742038726806
67,-18.26896682167053,3.125e-05,-18.18496406173706
68,-18.272248134613037,3.125e-05,-18.18760465113322
69,-18.27315244960785,3.125e-05,-18.19161313501994
70,-18.275288358688353,3.125e-05,-18.191517981211344
71,-18.276473080317178,3.125e-05,-18.187461786905924
72,-18.27807464313507,3.125e-05,-18.19271873219808
73,-18.279596912066143,3.125e-05,-18.189679921468098
74,-18.281866941452027,3.125e-05,-18.19641555786133
75,-18.282816368103028,3.125e-05,-18.189244902292888
76,-18.284647632280986,3.125e-05,-18.195543155670165
77,-18.285420619328818,3.125e-05,-18.19347918319702
78,-18.291222805023192,1.5625e-05,-18.198004221598307
79,-18.291866916338602,1.5625e-05,-18.19846369298299
80,-18.29269981797536,1.5625e-05,-18.197948678334555
81,-18.29329874801636,1.5625e-05,-18.20105058924357
82,-18.29461969343821,1.5625e-05,-18.202999923706056
83,-18.29462242380778,1.5625e-05,-18.201038003285724
84,-18.294692231814068,1.5625e-05,-18.1995553855896
85,-18.295768317540485,1.5625e-05,-18.20149416732788
86,-18.29776204840342,7.8125e-06,-18.203372666676838
87,-18.297168275197347,7.8125e-06,-18.201943658192953
88,-18.298781238238018,7.8125e-06,-18.20094960784912
89,-18.299397853533428,7.8125e-06,-18.204432317097982
90,-18.299914158821107,7.8125e-06,-18.20492234802246
91,-18.30029300848643,7.8125e-06,-18.202287996927897
92,-18.30019339021047,7.8125e-06,-18.205592648824055
93,-18.30063393688202,7.8125e-06,-18.205667203267414
94,-18.300432664235434,7.8125e-06,-18.204407122294107
95,-18.301917464574178,7.8125e-06,-18.204991194407146
96,-18.302974777221678,3.90625e-06,-18.205314843495685
97,-18.303873008092243,3.90625e-06,-18.204057640075682
98,-18.303681318600972,3.90625e-06,-18.204919732411703
99,-18.304216501553853,1.953125e-06,-18.204292458852134
100,-18.303594357808432,1.953125e-06,-18.20512885284424
101,-18.304001125017802,1.953125e-06,-18.205715136210124
102,-18.305059378623962,1.953125e-06,-18.205548631032308
103,-18.304448119163514,1.953125e-06,-18.204112405141196
104,-18.30500223445892,1.953125e-06,-18.20515161514282
105,-18.305295475959777,9.765625e-07,-18.20556572341919
106,-18.304711442311604,9.765625e-07,-18.20521568806966
107,-18.304686019261677,9.765625e-07,-18.205672172546386
108,-18.304778827031452,4.882813e-07,-18.20570487976074
109,-18.30478629430135,4.882813e-07,-18.205684617360433
110,-18.305287602742514,4.882813e-07,-18.205690747578938
111,-18.30534808508555,2.4414064e-07,-18.205772239685057
112,-18.305048659006754,2.4414064e-07,-18.20556521352132
113,-18.30570381863912,2.4414064e-07,-18.205669050852457
114,-18.304787512143452,1.2207032e-07,-18.205564301808675
115,-18.3049567750295,1.2207032e-07,-18.20563601430257
116,-18.306413228352863,1.2207032e-07,-18.205652088165284
117,-18.30656868902842,6.103516e-08,-18.205600808461508
118,-18.305720135052997,6.103516e-08,-18.205596270243326
119,-18.30595904636383,6.103516e-08,-18.205543045043946
120,-18.305530165354412,3.051758e-08,-18.20559847132365
121,-18.30548066075643,3.051758e-08,-18.20556975301107
